837  32700-32700/? D/dalvikvm©s Late-enabling CheckJNI
657  32700-32714    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
657  32700-32713    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
657    32700-772    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
657  32700-32714    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
657  32700-32713    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
657    32700-772    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
657  32700-32714    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
657  32700-32713    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667    32700-772    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667  32700-32714    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667  32700-32713    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667    32700-772    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667  32700-32714    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667  32700-32713    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667    32700-772    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667  32700-32714    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667  32700-32713    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667    32700-772    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
667  32700-32714    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
667  32700-32713    D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
