08-11 600    /? D/dalvikvm©s Late-enabling CheckJNI
08-11 670       V/uBleService©s Bind service on device
08-11 680       D/dalvikvm©s GetMethodID: not returning static method Landroid/os/Process;.getTotalMemory ()J
08-11 680       D/dalvikvm©s GetMethodID: not returning static method Landroid/os/Process;.getFreeMemory ()J
08-11 710       V/uBleService©s Register service :android.app.Application
08-11 710       D/BluetoothAdapter©s startLeScan(): null
08-11 730       D/BluetoothAdapter©s onClientRegistered() - status=0 clientIf=5
08-11 730       V/uBleScanner©s StartLeScan.
08-11 760       I/Adreno-EGL©s <qeglDrvAPI_eglInitialize:410>: EGL 1.4 QUALCOMM build:  ()
    OpenGL ES Shader Compiler Version: E031.24.00.15
    Build Date: 04/21/15 Tue
    Local Branch:
    Remote Branch:
    Local Patches:
    Reconstruct Branch:
08-11 810       D/OpenGLRenderer©s Enabling debug mode 0
08-11 820       V/uBleService©s Service connected
08-11 370       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ff9a-0000-1000-8000-00805f9b34fb
08-11 370       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fc64-0000-1000-8000-00805f9b34fb
08-11 380       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fe01-0000-1000-8000-00805f9b34fb
08-11 380       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fe02-0000-1000-8000-00805f9b34fb
08-11 390       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fe03-0000-1000-8000-00805f9b34fb
08-11 390       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fe04-0000-1000-8000-00805f9b34fb
08-11 390       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fe05-0000-1000-8000-00805f9b34fb
08-11 390       D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fe06-0000-1000-8000-00805f9b34fb
08-11 390       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
08-11 390       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
08-11 390       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 390       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 400       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 400       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 400       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
08-11 400       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 400       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 400       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 400       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 400       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 400       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
08-11 400       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 410       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
08-11 410       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 410       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 410       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 410       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
08-11 410       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 420       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
08-11 420       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 420       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 420       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
08-11 420       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 420       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 430       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 430       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 430       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 440       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 440       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
08-11 440       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 440       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 440       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 440       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 440       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 440       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 450       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 450       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 450       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 450       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 450       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 450       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002902-0000-1000-8000-00805f9b34fb
08-11 450       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 450       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 450       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 450       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 460       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 460       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 460       D/BluetoothGatt©s onGetDescriptor() - Device=B4:99:4C:4C:EE:EF UUID=00002901-0000-1000-8000-00805f9b34fb
08-11 460       D/BluetoothGatt©s onSearchComplete() = Device=B4:99:4C:4C:EE:EF Status=0
08-11 460       V/uBleService©s onServicesDiscovered received: 0
08-11 460       V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF
08-11 460       V/uBleService©s Service Call Back on Action com.uteacher.www.uteacherble.ACTION_GATT_SERVICES_DISCOVERED
08-11 460       V/uBleDeviceAdapter©s onServiceDiscovered B4:99:4C:4C:EE:EF,0
08-11 470       V/uBleDeviceAdapter©s enableDataNotify 0000ffe0-0000-1000-8000-00805f9b34fb,0000ffe4-0000-1000-8000-00805f9b34fb
08-11 470       V/uBleService©s enableNotify: B4:99:4C:4C:EE:EF,0000ffe4-0000-1000-8000-00805f9b34fb
08-11 470       D/BluetoothGatt©s setCharacteristicNotification() - uuid: 0000ffe4-0000-1000-8000-00805f9b34fb enable: true
08-11 470       V/uBleGatt©s writeDescriptor 00002902-0000-1000-8000-00805f9b34fb
